sale_date,maker_id,maker_name,type,city_maker,auction_house,sale_date.1,lot,usd,gbp,eur,bold_currency,Year,Month,Day,cpi_usd,cpi_gbp,cpi_eur,gbp_usd_x,eur_usd,price_usd_real,SP500_real,SP500_30d_ret,SP500_90d_ret,SP500_252d_ret,SP500_vol_30d,SP500_vol_90d,SP500_vol_252d,SP500_ma50,SP500_ma200,SP500_trend_ratio,gbp_usd_y,gbp_90d_change,gbp_vol_30d,10y_yield_pc,10y_yield_90d_change,MCI,real_price_gold,country_iso1,admin1_name,admin2_name,candidate_count,is_ambiguous,maker_name_maker,role,date,maker_last_name,birth_cent,location_filled
2007-03-02,543,"Piernot, Marie Louis",Violin Bow,Paris,Tarisio,2007-03-02,76,3580.0,3024.444444444445,2720.0,gbp,2007,3,2,0.6313627587224675,0.6083761939750183,0.6770680466517339,1.9442,1.3196,5880.1248888888895,2197.104635617383,-0.0413867919890807,-0.002768168829335,0.0452478445954034,0.1312854270380032,0.0961760286306643,0.1032480847023341,2293.4590861796005,2157.4707635857003,1.0630313628759858,1.9442,0.0387903398161999,0.0043466542083117,4.52,-0.0016,2.3922083541666344,1017.7984,FR,Île-de-France,Paris,,False,"Piernot, Marie Louis",Bow maker,1880-1959,Piernot,19.0,True
1991-04-25,2827,"Collin-Mézin, Charles Jean-Baptiste III",Violin,Paris,Phillip's,1991-04-25,72,4657.0,6376.064735945484,,gbp,1991,4,25,0.4156776899142818,0.4313005143277003,,1.689,,10769.173339011924,912.3655399408284,0.0109965343865792,0.1484084407881745,0.0860802386445367,0.1476741945656035,0.1606563899139362,0.1689878285611354,900.9776719566216,823.0165838603483,1.0947260232966365,1.689,-0.1316195372750642,0.009991055184316,8.07,0.0001999999999999,1.602221372851834,850.8996,FR,Île-de-France,Paris,59.0,True,"Collin-Mézin, Charles Jean-Baptiste III",Violin maker,b. 1910,Collin-Mézin,20.0,False
1985-11-14,218,"Gragnani, Antonio",Violin,Livorno,Sotheby's,1985-11-14,34,25120.0,55014.81731739376,,gbp,1985,11,14,0.3351247647977568,0.3199138133725202,,1.4253,,78412.61912248132,593.9877277608049,0.0767635351945967,0.0304554211056746,0.1585210477059679,0.0938876317138996,0.0998444364074449,0.1034727415391432,560.0639153728536,561.4724156820232,0.99749141672889,1.4253,0.0302132273220094,0.0039082471233859,9.84,-0.0038,0.4634567421668196,971.2801,IT,Tuscany,Provincia di Livorno,4.0,True,"Gragnani, Antonio",Violin maker,1740-1798,Gragnani,18.0,False
1996-11-20,333,"Klotz, Aegidius Sebastian",Violin,Mittenwald,Christie's,1996-11-20,128,5403.0,6332.976878612716,,gbp,1996,11,20,0.4876219054763691,0.5084496693607642,0.5524832007414845,1.6768,,10619.135630057805,1525.6697942645735,0.0657387306192003,0.1719923732305903,0.2040379769852889,0.0786786886767586,0.0977597325891435,0.1127644437356618,1447.57285953183,1382.733203295404,1.0468923839261954,1.6768,0.0765971107544141,0.0035161994531593,6.14,-0.0069,1.813556799639202,775.3958,DE,Bavaria,Upper Bavaria,1.0,False,"Klotz, Aegidius Sebastian",Violin maker,1733-1805,Klotz,18.0,False
2005-11-01,220,"Grancino, Giovanni Battista I",Cello,Milan,Sotheby's,2005-11-01,228,369525.0,356582.0,307732.0,gbp,2005,11,1,0.6075289314131811,0.5878030859662013,0.6590715995983626,1.7614,1.2019,628083.5348,1979.75758449539,-0.0092322742108031,-0.0064445626770586,0.0283282543970242,0.1326422397164197,0.108097158665192,0.1076077806311461,1980.4582936716847,1998.4423659435845,0.9910009552547652,1.7614,-0.0354835176870003,0.005723112781087,4.58,0.0060999999999999,-4.722457610645784,755.5196,IT,Lombardy,Città metropolitana di Milano,46.0,True,"Grancino, Giovanni Battista I",Violin maker,1637-1709,Grancino,17.0,False
2014-06-26,2852,"Besseling, Matthieu",Viola,Amsterdam,Tarisio,2014-06-26,8,9929.0,8045.991983967935,7339.0,gbp,2014,6,26,0.7327948790476307,0.7332843497428362,0.7740789372055302,1.7007,1.361,13683.818567134267,2670.897445744716,0.0344459036567994,0.0473769555755776,0.1959901462607751,0.0696055019633642,0.0967634401566005,0.1043125696142279,2607.954153954373,2521.089648458101,1.0344551434533074,1.7007,0.0163748281838285,0.0026129520366012,2.53,-0.0023,3.5660592417358004,1798.0475,NL,North Holland,Gemeente Amsterdam,17.0,True,"Besseling, Matthieu",Violin maker,b. 1951,Besseling,20.0,False
2014-10-17,259,"Hardie, Matthew",Viola,Edinburgh,Tarisio,2014-10-17,108,40411.12229555286,18442.0,23139.0,usd,2014,10,17,0.7299970484424384,0.7354886113152094,0.772843129682552,1.6096,1.2758,40411.12229555286,2584.61320328804,-0.05787586343104,-0.0256695052621551,0.0708086200328741,0.1449820067165852,0.1097028800743706,0.1080755611517267,2690.4986585688457,2615.286118052256,1.0287588191584196,1.6096,-0.0442940268376677,0.0046648765454047,2.22,-0.0037999999999999,0.5033328053549914,1695.4725,GB,Scotland,City of Edinburgh,10.0,True,"Hardie, Matthew",Violin maker,1755-1826,Hardie,18.0,False
2010-04-28,522,"Peccatte, Dominique",Violin Bow,Paris,Christie's,2010-04-28,83,111148.04434679305,49142.0,56248.0,usd,2010,4,28,0.6702772004476528,0.6605437178545188,0.720166834015602,1.52,1.3215,111148.04434679305,1777.4138588570493,0.0257312525347004,0.063941459089325,0.3626674914090606,0.1148276579253989,0.136058977860989,0.1747517177289215,1735.869412606541,1633.9418322028175,1.0623814008521395,1.52,-0.0730576899621904,0.0062311331880785,3.8,0.0002999999999999,1.878023151992821,1738.0123,FR,Île-de-France,Paris,59.0,True,"Peccatte, Dominique",Bow maker,1810-1874,Peccatte,19.0,False
2019-03-18,19,"Apparut, Georges",Violin,Paris,Tarisio,2019-03-18,168,5958.0,5723.831775700935,5252.0,gbp,2019,3,18,0.7815539950561411,0.7861866274797943,0.8059782188924075,1.322,1.1335,7566.905607476636,3624.7526841734752,0.0408338107606305,0.031495194470791,0.0123066711433861,0.0893816919443222,0.1957997680150093,0.1624789737710577,3491.168117167144,3550.024319087672,0.9834209017656385,1.322,0.0064712599923868,0.0056642986231055,2.6,-0.00565,2.820946158587448,1667.767,FR,Île-de-France,Paris,59.0,True,"Apparut, Georges",Violin maker,1877-1948,Apparut,19.0,False
1996-11-20,796,"Vigneron, Joseph Arthur père",Violin Bow,Paris,Christie's,1996-11-20,24,5403.0,6332.976878612716,,gbp,1996,11,20,0.4876219054763691,0.5084496693607642,0.5524832007414845,1.6768,,10619.135630057805,1525.6697942645735,0.0657387306192003,0.1719923732305903,0.2040379769852889,0.0786786886767586,0.0977597325891435,0.1127644437356618,1447.57285953183,1382.733203295404,1.0468923839261954,1.6768,0.0765971107544141,0.0035161994531593,6.14,-0.0069,1.813556799639202,775.3958,FR,Île-de-France,Paris,,False,"Vigneron, Joseph Arthur père",Bow maker,1851-1905,Vigneron,19.0,True
