maker_id,maker_name,type,city_maker,auction_house,sale_date,lot,usd,gbp,eur,bold_currency,Year,Month,Day,cpi_usd,cpi_gbp,cpi_eur,gbp_usd_x,eur_usd,price_usd_real,SP500_real,SP500_30d_ret,SP500_90d_ret,SP500_252d_ret,SP500_vol_30d,SP500_vol_90d,SP500_vol_252d,SP500_ma50,SP500_ma200,SP500_trend_ratio,gbp_usd_y,gbp_90d_change,gbp_vol_30d,10y_yield_pc,10y_yield_90d_change,MCI,real_price_gold,country_iso1,admin1_name,admin2_name,candidate_count,is_ambiguous,maker_name_maker,role,date,maker_last_name,birth_cent,location_filled
1136,"Geissenhof, Franz",Violin,Vienna,Sotheby's,1994-03-22,170,8547.0,12151.785714285714,,gbp,1994,3,22,0.4525721594333009,0.4731814842027921,,1.4862,,18059.983928571422,1035.8568860709152,-0.0096498497992688,0.0036773248197083,0.0206770442666193,0.0799649622401333,0.0803283024338278,0.0826793170973379,1044.2645748997693,1030.5052846443716,1.013351984177496,1.4862,0.0048681541582149,0.003445700371467,6.44,0.0078,-4.854566229221216,859.5314,AT,Vienna,Wien Stadt,18.0,True,"Geissenhof, Franz",Violin maker,1753-1821,Geissenhof,18.0,False
185,"Gadda, Mario",Violin,Mantua,Tarisio,2016-10-25,158,11715.0,12859.84251968504,10778.0,gbp,2016,10,25,0.7432052685302474,0.7465099191770757,0.7797945469993048,1.2133,1.0889,15602.84692913386,2883.671581537169,0.0063333857517196,0.0316896534354318,0.0180971847177697,0.0911175419370581,0.1238504873186193,0.1406459760447217,2908.6752828727185,2812.688416446744,1.0341263774062943,1.2133,-0.1742888253708996,0.0059422750472188,1.77,0.0006,1.6745291609066242,1713.9948,IT,Lombardy,Provincia di Mantova,1.0,False,"Gadda, Mario",Violin maker,1931-2008,Gadda,20.0,False
2828,"Wunderlich, Gustav",Violin Bow,Leipzig,Brompton's,2008-03-11,1010,1202.0,961.8374558303886,782.0,gbp,2008,3,11,0.6565001906214258,0.6238060249816312,0.7018614350814861,2.0037,1.533,1927.2337102473496,2011.6521568165424,-0.0357843519118004,-0.1559555511130039,-0.0970551134919331,0.2234206360777604,0.2295438418871219,0.1835984262973621,2096.0095786602355,2272.4609007984063,0.9223523176675223,2.0037,-0.0374693759907769,0.0050468102699454,3.6,-0.0077999999999999,-1.25362719773958,1482.1016,DE,Saxony,,2.0,True,"Wunderlich, Gustav",Bow maker,1872-1937,Wunderlich,19.0,False
1572,"Weichold, Richard",Viola Bow,Dresden,Christie's,2000-05-05,69,1782.722332361516,615.0,1046.0,usd,2000,5,5,0.5272834602093146,0.5400440852314475,0.5834556267861282,1.5272,0.8971,1782.722332361516,2717.001599697636,-0.0636566802467166,-0.0355098697940564,0.0322351731887819,0.2832638253013694,0.2595676327806138,0.207232083081118,2741.8792878271174,2668.75658555934,1.0273995397944666,1.5272,-0.0494803012385636,0.0043948255394189,6.51,0.0005999999999999,-1.6055485419320892,528.5582,DE,Saxony,,14.0,True,"Weichold, Richard",Bow maker,1823-1902,Weichold,19.0,False
356,"Thibouville-Lamy, Jérôme Firm",Violin,Mirecourt,Vichy-Enchères,2011-12-08,832,831.0,529.0,827.881600660066,eur,2011,12,8,0.6938373937746731,0.6980161645848642,0.7488993589248474,1.5629,1.3343,1104.6424197607262,1779.0190996635708,-0.0028609067683158,-0.0119014841022829,-0.0277084766057051,0.2944955086764118,0.3406704568824497,0.2283375356597168,1750.789461781647,1821.109721160156,0.9613860392037716,1.5629,-0.0475929311395491,0.005820168860298,1.99,-0.0048,-1.783621335628242,2461.9456,FR,Grand Est,Vosges,,False,"Thibouville-Lamy, Jérôme Firm",Bow maker / Violin maker,1857-1968,Thibouville-Lamy,19.0,True
756,"Tononi, Giovanni",Violin,Bologna,Sotheby's,1979-07-19,-,9835.0,22145.43331913533,,gbp,1979,7,19,0.224748810153358,0.1937193975018369,,2.3005,,50945.56935067083,452.1047321274702,-0.0079172099490315,-0.0265580694132172,-0.0684086457760757,0.1015072572624569,0.106280306603554,0.1220870763034262,455.6853108788404,464.96238795783415,0.9800476827389422,2.3005,0.129135172278394,0.0057119178163127,9.04,-0.001,2.287877331705203,1331.0415,IT,Emilia-Romagna,Bologna,5.0,True,"Tononi, Giovanni",Violin maker,c. 1640-1713,Tononi,17.0,False
2629,"Galeazzi, Eugenio",Violin,,Vichy-Enchères,2020-12-03,218,5881.0,4369.0,5954.511840228245,eur,2020,12,3,0.8008375044580817,0.8038207200587804,0.8121572565072991,1.3497,1.2145,7231.754629957203,4578.6067089657045,0.0669321092098473,0.1332795302361462,0.1621358826900514,0.1954642745592156,0.1836090268411272,0.3439808543626911,4342.668377335855,3966.756910275127,1.094765440777831,1.3497,0.0409532623785284,0.0053491842919768,0.92,0.0037,0.0228140748071873,2298.0442,,,,,False,"Galeazzi, Eugenio",Violin maker,1785-1862,Galeazzi,18.0,False
802,"Voirin, François Nicolas",Violin Bow,Paris,Bonhams,2005-05-23,113,2633.0,2468.3123425692693,2099.0,gbp,2005,5,23,0.5976904062081094,0.5833945628214549,0.6538966555958909,1.8293,1.2577,4515.283768261964,1997.4554935985927,0.0117492028400978,-0.0139451126171132,0.0619547818717223,0.144949381372419,0.1175483823592615,0.1096223000271164,1962.91368413107,1971.618925971484,0.995584723941456,1.8293,-0.0337523769279527,0.0049611578355064,4.07,-0.0015,-2.0941896289997404,697.6856,FR,Île-de-France,Paris,52.0,True,"Voirin, François Nicolas",Bow maker,1833-1885,Voirin,19.0,False
167,"Eberle, Tomaso",Violin,Naples,Sotheby's,2009-10-06,137,47712.0,46187.78280542986,32409.0,gbp,2009,10,6,0.6646446447677493,0.6495224099926525,0.7099714219510311,1.5933,1.4715,73590.99434389139,1586.8930548168069,0.0267914827181046,0.1351871062127465,-0.0002251642900066,0.165145229486945,0.1834408336185083,0.4226965041143229,1543.3496350444557,1370.6397947361413,1.1260067312882611,1.5933,-0.0301314828341856,0.0073863176750724,3.27,-0.0037999999999999,4.242859850644323,1566.0248,IT,Campania,Napoli,12.0,True,"Eberle, Tomaso",Violin maker,1725,Eberle,18.0,False
795,"Vigneron, André 'Vigneron fils'",Violin Bow,Paris,Skinner,1994-11-20,96,5247.051302605211,1540.0,,usd,1994,11,20,0.4602585072497632,0.4790595150624541,,1.5685,,5247.051302605211,1002.6322033202148,0.0126422075418353,0.0089379943220819,-0.0284311916777825,0.1059099200921811,0.093806275866922,0.0952112120445964,1010.4152973893828,1008.1602901647016,1.0022367546576478,1.5685,0.00384,0.0055258908719897,8.01,0.0075999999999999,-3.929421359731512,834.531,FR,Île-de-France,Paris,52.0,True,"Vigneron, André 'Vigneron fils'",Bow maker,1881-1924,Vigneron,19.0,False
